"url","status","content_type","title_length","description_length","canonical","robots","h1_count","expired_jobposting","issues","error"
"https://www.searchsarkarinaukri.com/","200","text/html; charset=utf-8","56","153","https://www.searchsarkarinaukri.com/","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/jobs","200","text/html; charset=utf-8","58","151","https://www.searchsarkarinaukri.com/jobs","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/exams","200","text/html; charset=utf-8","50","123","https://www.searchsarkarinaukri.com/exams","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/exam-calendar","200","text/html; charset=utf-8","41","150","https://www.searchsarkarinaukri.com/exam-calendar","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/admit-cards","200","text/html; charset=utf-8","49","140","https://www.searchsarkarinaukri.com/admit-cards","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/current-affairs","200","text/html; charset=utf-8","49","151","https://www.searchsarkarinaukri.com/current-affairs","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/quiz","200","text/html; charset=utf-8","57","145","https://www.searchsarkarinaukri.com/quiz","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/daily-assessment","200","text/html; charset=utf-8","57","154","https://www.searchsarkarinaukri.com/daily-assessment","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/study-material","200","text/html; charset=utf-8","42","127","https://www.searchsarkarinaukri.com/study-material","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/digital-library","200","text/html; charset=utf-8","47","140","https://www.searchsarkarinaukri.com/digital-library","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/eligibility-checker","200","text/html; charset=utf-8","51","153","https://www.searchsarkarinaukri.com/eligibility-checker","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/districts","200","text/html; charset=utf-8","49","153","https://www.searchsarkarinaukri.com/districts","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/sitemap","200","text/html; charset=utf-8","34","147","https://www.searchsarkarinaukri.com/sitemap","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/news","200","text/html; charset=utf-8","59","153","https://www.searchsarkarinaukri.com/news","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/blogs","200","text/html; charset=utf-8","47","126","https://www.searchsarkarinaukri.com/blogs","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/results","200","text/html; charset=utf-8","54","154","https://www.searchsarkarinaukri.com/results","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/career-guidance","200","text/html; charset=utf-8","30","154","https://www.searchsarkarinaukri.com/career-guidance","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/about","200","text/html; charset=utf-8","55","133","https://www.searchsarkarinaukri.com/about","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/contact","200","text/html; charset=utf-8","27","151","https://www.searchsarkarinaukri.com/contact","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/disclaimer","200","text/html; charset=utf-8","32","145","https://www.searchsarkarinaukri.com/disclaimer","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
"https://www.searchsarkarinaukri.com/privacy","200","text/html; charset=utf-8","36","154","https://www.searchsarkarinaukri.com/privacy","index, follow, max-snippet:-1, max-image-preview:large","1","false","",""
