"target_url","status","example_source_url","example_anchor_text"
"https://www.searchsarkarinaukri.com/jobs-in-across-india","404","https://www.searchsarkarinaukri.com/jobs/sbi-assistant-manager-law-deputy-manager-law-recruitment-2026--2674","across india sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/bihar","404","https://www.searchsarkarinaukri.com/jobs/csc-aadhaar-supervisor-operator-recruitment-2026-bihar-apply-online--3971","All government jobs in bihar"
"https://www.searchsarkarinaukri.com/districts/work-from-home","404","https://www.searchsarkarinaukri.com/jobs/nabfins-telecaller-work-from-home-recruitment-2026--4906","All government jobs in work from home"
"https://www.searchsarkarinaukri.com/jobs-in-work-from-home","404","https://www.searchsarkarinaukri.com/jobs/nabfins-telecaller-work-from-home-recruitment-2026--4906","work from home sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/kurnool","404","https://www.searchsarkarinaukri.com/jobs/dsh-kurnool-general-surgery-specialist-recruitment-2026--4898","All government jobs in kurnool"
"https://www.searchsarkarinaukri.com/jobs-in-kurnool","404","https://www.searchsarkarinaukri.com/jobs/dsh-kurnool-general-surgery-specialist-recruitment-2026--4898","kurnool sarkari naukri"
"https://www.searchsarkarinaukri.com/jobs-in-yavatmal","404","https://www.searchsarkarinaukri.com/jobs/pm-shri-school-jnv-yavatmal-pm-shri-school-jnv-yavatmal-2026--1920","yavatmal sarkari naukri"
"https://www.searchsarkarinaukri.com/jobs-in-sindhudurg","404","https://www.searchsarkarinaukri.com/jobs/dr-balasaheb-sawant-konkan-krishi-vidyapeeth-dapoli-dr-balasaheb-sawant-konkan-krishi-vidyapeeth-202--2412","sindhudurg sarkari naukri"
"https://www.searchsarkarinaukri.com/jobs-in-jalgaon","404","https://www.searchsarkarinaukri.com/jobs/kendriya-vidyalaya-ordnance-factory-varangaon-kendriya-vidyalaya-ordnance-factory-varangaon-invites--2220","jalgaon sarkari naukri"
"https://www.searchsarkarinaukri.com/jobs-in-nanded","404","https://www.searchsarkarinaukri.com/jobs/job-2026--1536","nanded sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/kharghar","404","https://www.searchsarkarinaukri.com/jobs/tmc-actrec-technician-recruitment-2026--4871","All government jobs in kharghar"
"https://www.searchsarkarinaukri.com/jobs-in-kharghar","404","https://www.searchsarkarinaukri.com/jobs/tmc-actrec-technician-recruitment-2026--4871","kharghar sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/sector-22","404","https://www.searchsarkarinaukri.com/jobs/actrec-senior-resident-pathology-recruitment-2026--4872","All government jobs in sector 22"
"https://www.searchsarkarinaukri.com/jobs-in-sector-22","404","https://www.searchsarkarinaukri.com/jobs/actrec-senior-resident-pathology-recruitment-2026--4872","sector 22 sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/narora","404","https://www.searchsarkarinaukri.com/jobs/npcil-dental-surgeon-recruitment-2026--4868","All government jobs in narora"
"https://www.searchsarkarinaukri.com/jobs-in-narora","404","https://www.searchsarkarinaukri.com/jobs/npcil-dental-surgeon-recruitment-2026--4868","narora sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/rohini","404","https://www.searchsarkarinaukri.com/jobs/nfsu-research-assistant-recruitment-2026--4865","All government jobs in rohini"
"https://www.searchsarkarinaukri.com/jobs-in-rohini","404","https://www.searchsarkarinaukri.com/jobs/nfsu-research-assistant-recruitment-2026--4865","rohini sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/khodad","404","https://www.searchsarkarinaukri.com/jobs/ncra-engineer-trainee-servo-recruitment-2026--4852","All government jobs in khodad"
"https://www.searchsarkarinaukri.com/jobs-in-khodad","404","https://www.searchsarkarinaukri.com/jobs/ncra-engineer-trainee-servo-recruitment-2026--4852","khodad sarkari naukri"
"https://www.searchsarkarinaukri.com/jobs/NCRA%20Driver-B%20Pune%20Recruitment%202026%20%E2%80%93%20Apply%20Online","410","https://www.searchsarkarinaukri.com/jobs/ncra-driver-b-pune-recruitment-2026--4860","Apply Online"
"https://www.searchsarkarinaukri.com/districts/pune-/-khodad","404","https://www.searchsarkarinaukri.com/jobs/ncra-administrative-trainee-recruitment-2026--4854","All government jobs in pune / khodad"
"https://www.searchsarkarinaukri.com/jobs-in-pune-/-khodad","404","https://www.searchsarkarinaukri.com/jobs/ncra-administrative-trainee-recruitment-2026--4854","pune / khodad sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/navi-mumbai","404","https://www.searchsarkarinaukri.com/jobs/sbi-manager-manpower-planning-recruitment-2026--4626","All government jobs in navi mumbai"
"https://www.searchsarkarinaukri.com/jobs-in-navi-mumbai","404","https://www.searchsarkarinaukri.com/jobs/sbi-manager-manpower-planning-recruitment-2026--4626","navi mumbai sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/khadki","404","https://www.searchsarkarinaukri.com/jobs/high-explosives-factory-khadki-tenure-based-cpw-recruitment-2026--4825","All government jobs in khadki"
"https://www.searchsarkarinaukri.com/jobs-in-khadki","404","https://www.searchsarkarinaukri.com/jobs/high-explosives-factory-khadki-tenure-based-cpw-recruitment-2026--4825","khadki sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/various-locations","404","https://www.searchsarkarinaukri.com/jobs/cci-engineer-electrical-recruitment-2026--4817","All government jobs in various locations"
"https://www.searchsarkarinaukri.com/jobs-in-various-locations","404","https://www.searchsarkarinaukri.com/jobs/cci-engineer-electrical-recruitment-2026--4817","various locations sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/bangalore","404","https://www.searchsarkarinaukri.com/jobs/beml-graduate-technical-apprentice-recruitment-2026--4809","All government jobs in bangalore"
"https://www.searchsarkarinaukri.com/districts/prayagraj","404","https://www.searchsarkarinaukri.com/jobs/rrc-ncr-apprentice-recruitment-2026-1853-posts--2914","All government jobs in prayagraj"
"https://www.searchsarkarinaukri.com/jobs-in-prayagraj","404","https://www.searchsarkarinaukri.com/jobs/rrc-ncr-apprentice-recruitment-2026-1853-posts--2914","prayagraj sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/kalyani","404","https://www.searchsarkarinaukri.com/jobs/aiims-kalyani-project-research-scientist-i-recruitment-2026--4801","All government jobs in kalyani"
"https://www.searchsarkarinaukri.com/jobs-in-kalyani","404","https://www.searchsarkarinaukri.com/jobs/aiims-kalyani-project-research-scientist-i-recruitment-2026--4801","kalyani sarkari naukri"
"https://www.searchsarkarinaukri.com/jobs-in-gadchiroli","404","https://www.searchsarkarinaukri.com/jobs/samaj-kalyan-gadchiroli-samaj-kalyan-gadchiroli-2026--2830","gadchiroli sarkari naukri"
"https://www.searchsarkarinaukri.com/jobs-in-latur","404","https://www.searchsarkarinaukri.com/jobs/jspm-latur-jspm-latur-2026--1753","latur sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/delhi-ncr","404","https://www.searchsarkarinaukri.com/jobs/csir-technician-recruitment-2026--4762","All government jobs in delhi ncr"
"https://www.searchsarkarinaukri.com/jobs-in-delhi-ncr","404","https://www.searchsarkarinaukri.com/jobs/csir-technician-recruitment-2026--4762","delhi ncr sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/bhel-tiruchirappalli","404","https://www.searchsarkarinaukri.com/jobs/bhel-trichy-graduate-apprentice-civil-engineering-recruitment-2026--4735","All government jobs in bhel tiruchirappalli"
"https://www.searchsarkarinaukri.com/jobs-in-bhel-tiruchirappalli","404","https://www.searchsarkarinaukri.com/jobs/bhel-trichy-graduate-apprentice-civil-engineering-recruitment-2026--4735","bhel tiruchirappalli sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/hal-aircraft-division","404","https://www.searchsarkarinaukri.com/jobs/hal-nasik-tool-die-maker-jig-fixture-apprentice-recruitment-2026--4676","All government jobs in hal aircraft division"
"https://www.searchsarkarinaukri.com/jobs-in-hal-aircraft-division","404","https://www.searchsarkarinaukri.com/jobs/hal-nasik-tool-die-maker-jig-fixture-apprentice-recruitment-2026--4676","hal aircraft division sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/al-aircraft-division","404","https://www.searchsarkarinaukri.com/jobs/hal-nasik-pharmacist-graduate-apprentice-recruitment-2026--4700","All government jobs in al aircraft division"
"https://www.searchsarkarinaukri.com/jobs-in-al-aircraft-division","404","https://www.searchsarkarinaukri.com/jobs/hal-nasik-pharmacist-graduate-apprentice-recruitment-2026--4700","al aircraft division sarkari naukri"
"https://www.searchsarkarinaukri.com/jobs-in-jalna","404","https://www.searchsarkarinaukri.com/jobs/jnv-jalna-jnv-jalna-2026--2270","jalna sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/anywhere-in-india","404","https://www.searchsarkarinaukri.com/jobs/bank-of-baroda-manager-digital-product-recruitment-2026-apply-online-for-13-posts--4161","All government jobs in anywhere in india"
"https://www.searchsarkarinaukri.com/jobs-in-anywhere-in-india","404","https://www.searchsarkarinaukri.com/jobs/bank-of-baroda-manager-digital-product-recruitment-2026-apply-online-for-13-posts--4161","anywhere in india sarkari naukri"
"https://www.searchsarkarinaukri.com/districts/mumbai-/-anywhere-in-india","404","https://www.searchsarkarinaukri.com/jobs/sbi-deputy-vice-president-cyber-security-recruitment-2026--4622","All government jobs in mumbai / anywhere in india"
"https://www.searchsarkarinaukri.com/jobs-in-mumbai-/-anywhere-in-india","404","https://www.searchsarkarinaukri.com/jobs/sbi-deputy-vice-president-cyber-security-recruitment-2026--4622","mumbai / anywhere in india sarkari naukri"
