"source_url","target_url","target_status","anchor_text","rel"
"https://www.searchsarkarinaukri.com/","https://www.searchsarkarinaukri.com/jobs/icmr-nirwoh-senior-consultant-recruitment-2026-walk-in-for-1-post--5025","410","ICMR NIRWoH Senior Consultant Recruitment 2026 – Walk-in for 1 Post",""
"https://www.searchsarkarinaukri.com/","https://www.searchsarkarinaukri.com/jobs/bombay-high-court-cook-recruitment-2026-apply-offline-for-18-posts--5024","410","Bombay High Court Cook Recruitment 2026 – Apply Offline for 18 Posts",""
"https://www.searchsarkarinaukri.com/","https://www.searchsarkarinaukri.com/jobs/esic-senior-resident-recruitment-2026-walk-in-for-5-posts--5023","410","ESIC Senior Resident Recruitment 2026 – Walk-in for 5 Posts",""
"https://www.searchsarkarinaukri.com/","https://www.searchsarkarinaukri.com/jobs/esic-assistant-professor-recruitment-2026-walk-in-for-7-posts--5022","410","ESIC Assistant Professor Recruitment 2026 – Walk-in for 7 Posts",""
"https://www.searchsarkarinaukri.com/","https://www.searchsarkarinaukri.com/jobs/esic-associate-professor-recruitment-2026-walk-in-for-11-posts--5021","410","ESIC Associate Professor Recruitment 2026 – Walk-in for 11 Posts",""
"https://www.searchsarkarinaukri.com/","https://www.searchsarkarinaukri.com/jobs/esic-professor-recruitment-2026-walk-in-for-6-posts--5020","410","ESIC Professor Recruitment 2026 – Walk-in for 6 Posts",""
"https://www.searchsarkarinaukri.com/","https://www.searchsarkarinaukri.com/jobs/mahatransco-electrician-apprentice-recruitment-2026-apply-online-for-68-posts--5019","410","MAHATRANSCO Electrician Apprentice Recruitment 2026 – Apply Online for 68 Posts",""
"https://www.searchsarkarinaukri.com/","https://www.searchsarkarinaukri.com/jobs/csir-neeri-project-associate-recruitment-2026-apply-online-for-2-posts--5016","410","CSIR NEERI Project Associate Recruitment 2026 – Apply Online for 2 Posts",""
"https://www.searchsarkarinaukri.com/","https://www.searchsarkarinaukri.com/jobs/recruitment-notification-brihan-mumbai-mahanagarpalika-mcgm-hiring-17-staff-nurse-x-ray-technician-2026--4998","410","Recruitment Notification: Brihan Mumbai Mahanagarpalika (MCGM) hiring 17 Staff Nurse, X-ray Technician 2026",""
"https://www.searchsarkarinaukri.com/jobs","https://www.searchsarkarinaukri.com/jobs/icmr-nirwoh-senior-consultant-recruitment-2026-walk-in-for-1-post--5025","410","ICMR NIRWoH Senior Consultant Recruitment 2026 – Walk-in for 1 Post",""
"https://www.searchsarkarinaukri.com/jobs","https://www.searchsarkarinaukri.com/jobs/bombay-high-court-cook-recruitment-2026-apply-offline-for-18-posts--5024","410","Bombay High Court Cook Recruitment 2026 – Apply Offline for 18 Posts",""
"https://www.searchsarkarinaukri.com/jobs","https://www.searchsarkarinaukri.com/jobs/esic-senior-resident-recruitment-2026-walk-in-for-5-posts--5023","410","ESIC Senior Resident Recruitment 2026 – Walk-in for 5 Posts",""
"https://www.searchsarkarinaukri.com/jobs","https://www.searchsarkarinaukri.com/jobs/esic-assistant-professor-recruitment-2026-walk-in-for-7-posts--5022","410","ESIC Assistant Professor Recruitment 2026 – Walk-in for 7 Posts",""
"https://www.searchsarkarinaukri.com/jobs","https://www.searchsarkarinaukri.com/jobs/esic-associate-professor-recruitment-2026-walk-in-for-11-posts--5021","410","ESIC Associate Professor Recruitment 2026 – Walk-in for 11 Posts",""
"https://www.searchsarkarinaukri.com/jobs","https://www.searchsarkarinaukri.com/jobs/esic-professor-recruitment-2026-walk-in-for-6-posts--5020","410","ESIC Professor Recruitment 2026 – Walk-in for 6 Posts",""
"https://www.searchsarkarinaukri.com/jobs","https://www.searchsarkarinaukri.com/jobs/mahatransco-electrician-apprentice-recruitment-2026-apply-online-for-68-posts--5019","410","MAHATRANSCO Electrician Apprentice Recruitment 2026 – Apply Online for 68 Posts",""
"https://www.searchsarkarinaukri.com/jobs","https://www.searchsarkarinaukri.com/jobs/csir-neeri-project-associate-recruitment-2026-apply-online-for-2-posts--5016","410","CSIR NEERI Project Associate Recruitment 2026 – Apply Online for 2 Posts",""
"https://www.searchsarkarinaukri.com/jobs","https://www.searchsarkarinaukri.com/jobs/recruitment-notification-brihan-mumbai-mahanagarpalika-mcgm-hiring-17-staff-nurse-x-ray-technician-2026--4998","410","Recruitment Notification: Brihan Mumbai Mahanagarpalika (MCGM) hiring 17 Staff Nurse, X-ray Technician 2026",""
"https://www.searchsarkarinaukri.com/daily-assessment","https://www.searchsarkarinaukri.com/assessment","404","Start Today's Free Assessment",""
"https://www.searchsarkarinaukri.com/jobs/sgbau-amravati-sgbau-amravati-2026--5012","https://www.searchsarkarinaukri.com/jobs-in-amravati","404","amravati sarkari naukri",""
"https://www.searchsarkarinaukri.com/jobs/jilhadhikari-karyalay-wardha-bharti-2026-details-jilhadhikari-karyalay-wardha-bharti-2026-details-20--5007","https://www.searchsarkarinaukri.com/jobs-in-wardha","404","wardha sarkari naukri",""
