url,status,redirect_location,in_sitemap,discovered_via_internal_link
https://www.searchsarkarinaukri.com/jobs/bharati-vidyapeeth-pune--4717,301,https://www.searchsarkarinaukri.com/jobs/bharati-vidyapeeth-pune-bharati-vidyapeeth-pune-2026--4717,false,true
https://www.searchsarkarinaukri.com/jobs/bharati-vidyapeeth-pune--4785,301,https://www.searchsarkarinaukri.com/jobs/bharati-vidyapeeth-pune-bharati-vidyapeeth-pune-2026--4785,false,true
https://www.searchsarkarinaukri.com/jobs/bhel--4665,301,https://www.searchsarkarinaukri.com/jobs/bhel-bhel-2026--4665,false,true
https://www.searchsarkarinaukri.com/jobs/bhel--4790,301,https://www.searchsarkarinaukri.com/jobs/bhel-bhel-2026--4790,false,true
https://www.searchsarkarinaukri.com/jobs/bombay-high-court-bhc-invites-applications-for-34-cook-cum-peon-judicial-research-assistant-cook-positions-2026--2103,301,https://www.searchsarkarinaukri.com/jobs/bombay-high-court-bhc-bombay-high-court-bhc-invites-applications-2026--2103,false,true
https://www.searchsarkarinaukri.com/jobs/brihanmumbai-mahanagarpalika-corporation--1889,301,https://www.searchsarkarinaukri.com/jobs/brihanmumbai-mahanagarpalika-corporation-brihanmumbai-mahanagarpalika-corporation-2026--1889,false,true
https://www.searchsarkarinaukri.com/jobs/cantonment-board-kamptee--4878,301,https://www.searchsarkarinaukri.com/jobs/cantonment-board-kamptee-cantonment-board-kamptee-2026--4878,false,true
https://www.searchsarkarinaukri.com/jobs/cife-mumbai--4524,301,https://www.searchsarkarinaukri.com/jobs/cife-mumbai-cife-mumbai-2026--4524,false,true
https://www.searchsarkarinaukri.com/jobs/cife-mumbai--4886,301,https://www.searchsarkarinaukri.com/jobs/cife-mumbai-cife-mumbai-2026--4886,false,true
https://www.searchsarkarinaukri.com/jobs/ciims-hospital-nagpur--4954,301,https://www.searchsarkarinaukri.com/jobs/ciims-hospital-nagpur-ciims-hospital-nagpur-2026--4954,false,true
