"name","ua","url","status","location","ttfb_ms","total_ms","bytes","content_type","content_encoding","cache_control","x_robots_tag","x_prerender","hsts","csp","x_content_type_options","x_frame_options","referrer_policy","server","alt_svc"
"jobs-trailing-slash","googlebot-desktop","https://www.searchsarkarinaukri.com/jobs/","200","","26","27","27867","text/html; charset=utf-8","gzip","public, max-age=600, s-maxage=600, stale-while-revalidate=86400","","1","max-age=31536000; includeSubDomains, max-age=31536000; includeSubDomains","default-src 'self';base-uri 'self';font-src 'self' https: data:;form-action 'self';frame-ancestors 'self';frame-src 'self' https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;img-src 'self' data: https:;object-src 'none';script-src 'self' https://pagead2.googlesyndication.com https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;script-src-attr 'none';style-src 'self' https: 'unsafe-inline';upgrade-insecure-requests","nosniff, nosniff","SAMEORIGIN, SAMEORIGIN","no-referrer, strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"job-detail","standard","https://www.searchsarkarinaukri.com/jobs/job-2026--5015","200","","16","17","18706","text/html; charset=utf-8","gzip","","","","max-age=31536000; includeSubDomains","","nosniff","SAMEORIGIN","strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"job-detail","googlebot","https://www.searchsarkarinaukri.com/jobs/job-2026--5015","200","","50","50","16276","text/html; charset=utf-8","gzip","public, max-age=600, s-maxage=600, stale-while-revalidate=86400","","1","max-age=31536000; includeSubDomains, max-age=31536000; includeSubDomains","default-src 'self';base-uri 'self';font-src 'self' https: data:;form-action 'self';frame-ancestors 'self';frame-src 'self' https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;img-src 'self' data: https:;object-src 'none';script-src 'self' https://pagead2.googlesyndication.com https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;script-src-attr 'none';style-src 'self' https: 'unsafe-inline';upgrade-insecure-requests","nosniff, nosniff","SAMEORIGIN, SAMEORIGIN","no-referrer, strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"job-detail","googlebot-desktop","https://www.searchsarkarinaukri.com/jobs/job-2026--5015","200","","47","47","16276","text/html; charset=utf-8","gzip","public, max-age=600, s-maxage=600, stale-while-revalidate=86400","","1","max-age=31536000; includeSubDomains, max-age=31536000; includeSubDomains","default-src 'self';base-uri 'self';font-src 'self' https: data:;form-action 'self';frame-ancestors 'self';frame-src 'self' https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;img-src 'self' data: https:;object-src 'none';script-src 'self' https://pagead2.googlesyndication.com https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;script-src-attr 'none';style-src 'self' https: 'unsafe-inline';upgrade-insecure-requests","nosniff, nosniff","SAMEORIGIN, SAMEORIGIN","no-referrer, strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"category-query","standard","https://www.searchsarkarinaukri.com/jobs?category=mpsc","200","","17","18","18706","text/html; charset=utf-8","gzip","","","","max-age=31536000; includeSubDomains","","nosniff","SAMEORIGIN","strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"category-query","googlebot","https://www.searchsarkarinaukri.com/jobs?category=mpsc","200","","49","50","18777","text/html; charset=utf-8","gzip","public, max-age=600, s-maxage=600, stale-while-revalidate=86400","","1","max-age=31536000; includeSubDomains, max-age=31536000; includeSubDomains","default-src 'self';base-uri 'self';font-src 'self' https: data:;form-action 'self';frame-ancestors 'self';frame-src 'self' https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;img-src 'self' data: https:;object-src 'none';script-src 'self' https://pagead2.googlesyndication.com https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;script-src-attr 'none';style-src 'self' https: 'unsafe-inline';upgrade-insecure-requests","nosniff, nosniff","SAMEORIGIN, SAMEORIGIN","no-referrer, strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"category-query","googlebot-desktop","https://www.searchsarkarinaukri.com/jobs?category=mpsc","200","","51","51","18777","text/html; charset=utf-8","gzip","public, max-age=600, s-maxage=600, stale-while-revalidate=86400","","1","max-age=31536000; includeSubDomains, max-age=31536000; includeSubDomains","default-src 'self';base-uri 'self';font-src 'self' https: data:;form-action 'self';frame-ancestors 'self';frame-src 'self' https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;img-src 'self' data: https:;object-src 'none';script-src 'self' https://pagead2.googlesyndication.com https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;script-src-attr 'none';style-src 'self' https: 'unsafe-inline';upgrade-insecure-requests","nosniff, nosniff","SAMEORIGIN, SAMEORIGIN","no-referrer, strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"qualification","standard","https://www.searchsarkarinaukri.com/10th-pass-government-jobs","200","","16","17","18706","text/html; charset=utf-8","gzip","","","","max-age=31536000; includeSubDomains","","nosniff","SAMEORIGIN","strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"qualification","googlebot","https://www.searchsarkarinaukri.com/10th-pass-government-jobs","200","","61","62","22894","text/html; charset=utf-8","gzip","public, max-age=600, s-maxage=600, stale-while-revalidate=86400","","1","max-age=31536000; includeSubDomains, max-age=31536000; includeSubDomains","default-src 'self';base-uri 'self';font-src 'self' https: data:;form-action 'self';frame-ancestors 'self';frame-src 'self' https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;img-src 'self' data: https:;object-src 'none';script-src 'self' https://pagead2.googlesyndication.com https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;script-src-attr 'none';style-src 'self' https: 'unsafe-inline';upgrade-insecure-requests","nosniff, nosniff","SAMEORIGIN, SAMEORIGIN","no-referrer, strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
"qualification","googlebot-desktop","https://www.searchsarkarinaukri.com/10th-pass-government-jobs","200","","56","56","22894","text/html; charset=utf-8","gzip","public, max-age=600, s-maxage=600, stale-while-revalidate=86400","","1","max-age=31536000; includeSubDomains, max-age=31536000; includeSubDomains","default-src 'self';base-uri 'self';font-src 'self' https: data:;form-action 'self';frame-ancestors 'self';frame-src 'self' https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;img-src 'self' data: https:;object-src 'none';script-src 'self' https://pagead2.googlesyndication.com https://googleads.g.doubleclick.net https://tpc.googlesyndication.com;script-src-attr 'none';style-src 'self' https: 'unsafe-inline';upgrade-insecure-requests","nosniff, nosniff","SAMEORIGIN, SAMEORIGIN","no-referrer, strict-origin-when-cross-origin","nginx/1.24.0 (Ubuntu)",""
